Name,Album,Artist,song_url
All 4 Nothing (I'm So In Love),All 4 Nothing (I'm So In Love),Lauv,https://open.spotify.com/track/21AziTMaZwcLflGMAj85o5
Lonely World,Lonely World,K-391,https://open.spotify.com/track/3JO4zEi1PJwANcidci6x6e
Rush,Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Troye Sivan,https://open.spotify.com/track/4gqakJ2DQ5NoTqNHxyIBAM
lil' freak,lil' freak,bbno$,https://open.spotify.com/track/6guIMfoWJvsCXQxNsAtWPN
Two Feet,Two Feet,TOESUP,https://open.spotify.com/track/4l09dn8jv0EM7NzViRWPut
Rock My Body,Rock My Body,R3HAB,https://open.spotify.com/track/2o97OhRvkc1WGbV20QkB0R
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,https://open.spotify.com/track/60JZB9waHUPWJTGbYO6kDB
Before You,Pop Mania,Benson Boone,https://open.spotify.com/track/3MbH4TbtxRpWwUJ9scSAGr
Now Or Never,Now Or Never,Pitbull,https://open.spotify.com/track/5hG7MlKPCqUgtdwROUbBRS
Super Freaky Girl,Wake up happy 2023 | Good Morning,Nicki Minaj,https://open.spotify.com/track/4XRc44oRSkuJfnYcQUSMst
Sweetest Pie,Sweetest Pie,Megan Thee Stallion,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ
Ayo Girl (Fayahh Beat) [feat. Rema],Ayo Girl (Fayahh Beat) [feat. Rema],Robinson,https://open.spotify.com/track/57Hk0AE5OhgXrPWZOhipHt
Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,https://open.spotify.com/track/3rb0tMq42WfggucPm0HHkA
Kiss Me,Songs of Sonder,Dermot Kennedy,https://open.spotify.com/track/1Xq9ilOLiknCaGYtSsvFrH
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,https://open.spotify.com/track/22dUzMFttcR3uU17NcOAIv
Celestial,Celestial,Ed Sheeran,https://open.spotify.com/track/4zrKN5Sv8JS5mqnbVcsul7
Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9
B.O.T.A. (Baddest of Them All),Daily Pop Mix,Eliza Rose,https://open.spotify.com/track/28vVY9dJdHWrxsTRix1gMF
Love Again,Love Again,MIRA,https://open.spotify.com/track/4Vvy29lp15NvfeqC8PAr6U
Yummy (with Dhurata Dora & Stefflon Don),Yummy (with Dhurata Dora & Stefflon Don),INNA,https://open.spotify.com/track/4UBQzePH33VgggQbnS7K0v
LIFETIMES,LIFETIMES,Katy Perry,https://open.spotify.com/track/0K8sKuo6xLHZgySZmmw2rV
Single Soon,Single Soon,Selena Gomez,https://open.spotify.com/track/6iF4RgIjDvDqyW13PezSj3
Satellite,Harry's House,Harry Styles,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,https://open.spotify.com/track/2H2ytI7ompfNmRkI2sq8Uk
IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX,https://open.spotify.com/track/5SMCxRA6hB2jEhroaYfw6N
Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,https://open.spotify.com/track/4f9wNNZET9wH7eMBgONd3d
Hold Me Closer,The Lockdown Sessions,Elton John,https://open.spotify.com/track/5TJEBoTCDbJXiKMdCN9pd3
Flowers Need Rain,Class Of 2022,Preston Pablo,https://open.spotify.com/track/5yIOiT0g7BWAa8bIVRpBKj
That Part,That Part,Lauren Spencer Smith,https://open.spotify.com/track/7vfCm8tEWV9lCpyY1nvJVB
Green Green Grass,Green Green Grass,George Ezra,https://open.spotify.com/track/3rk4aJ0vAj3cFUIQEeASkT
Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,https://open.spotify.com/track/6ADDIJxxqzM9LMpm78yzQG
Million Dollar Baby,Million Dollar Baby,Ava Max,https://open.spotify.com/track/3pPN20syOYvbUuEiBpbenI
GIRLS,GIRLS,The Kid LAROI,https://open.spotify.com/track/7z3PblAN3dH1JMewiRydkZ
Mondays,Mondays,TOESUP,https://open.spotify.com/track/6t3qtvyjdQfaFhzEF2EUZN
Numb,Numb,Marshmello,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL
Betty (Get Money),Betty (Get Money),Yung Gravy,https://open.spotify.com/track/4cacyP5c3PMlfnyjpg13xW
Not My Fault (with Megan Thee Stallion),Not My Fault (with Megan Thee Stallion),Reneé Rapp,https://open.spotify.com/track/1uQvn6qvdkWRNiA7Lol9BT
